Text,Label
play best drake songs,spotify
play jazz,spotify
play new maroon 5 song,spotify
play tik tok hits,spotify
spotify club music,spotify
play romantic playlist,spotify
play my favorite songs,spotify
top 2021 songs,spotify
play k-pop,spotify
play 90s songs,spotify
play some chill out,spotify
play pop music,spotify
spotify workout playlist,spotify
play frank sinatra,spotify
hey spotify pop music playlist,spotify
play soundtrack from titanic,spotify
play top 10 russian songs,spotify
spotify party vibes,spotify
play edm,spotify
play mozart,spotify
hey spotify play some rock music,spotify
popular songs mixtape,spotify
hey spotify play some relaxation music,spotify
play music for yoga,spotify
play dj set,spotify
make me shake my hips,spotify
i want to move to upbeat music,spotify
play michael jackson classics,spotify
play my daily mood,spotify
play my 25 top songs,spotify
i want to party,spotify
play european dancehall,spotify
i want to hear sad songs,spotify
play my favorite playlist,spotify
play a strong bass,spotify
play grammy nominated albums,spotify
play the most trending songs,spotify
I want to hear indie pop,spotify
play movie theme songs,spotify
hans zimmer's greatest songs,spotify
i want to hear music that makes me levitate,spotify
classical music to study,spotify
play celebration music,spotify
play the happy birthday song in spanish,spotify
play german songs to drink beer to,spotify
play sad anime themes,spotify
play trap music with menacing hi-hats,spotify
play drill music,spotify
play southern jazz,spotify
give me a song by hillsongs,spotify
any tunes about peace on earth,spotify
anything from top 10 playlist of the year,spotify
find me song about payphones by maroon five,spotify
any songs about reigning forever and ever,spotify
play shakiras hips don't lie,spotify
any songs about praise and worship,spotify
play something with alpha and omega,spotify
uplifiting song please to life my spirits,spotify
play beauty and a beat by justin bieber,spotify
any song in th eplaylist by justin timberlake,spotify
any songs by the artist tribl,spotify
play what in the top chrisitian playlist,spotify
give me a joyful song and a shout of praise,spotify
anything I could dance to or have a beat,spotify
jazz song with trumpets wold be nice,spotify
any hard rock that is bass heavy,spotify
any song from math rock genre,spotify
guitar heavy solo preferably by creed,spotify
your top ten favourite bar music,spotify
songs that they always play at the pub,spotify
clubbing beats would be great,spotify
drums and keys that from any top 10,spotify
play me the best song you got on the charts,spotify
creep by radiohead,spotify
anything from evanescance latest albums,spotify
show me most trending song,spotify
suggest me some themes from the 80s,spotify
what is the best song of Rihanna,spotify
what is the most popular song of Westlife,spotify
it is a good time to listen to some country,spotify
play something country,spotify
whatever jazz,spotify
a love song would be good,spotify
let's cheer up the atmosphere with some Linkin Park,spotify
A Taylor Swift song for now,spotify
"I wanna listen to sia, anything good",spotify
show me newest backstreet boys product,spotify
in the end should be good,spotify
lose yourself of eminem,spotify
fall out boy's immortals,spotify
"start the morning with have a nice day, jovi",spotify
onerepublic counting stars for tonight,spotify
any recent dua lipa,spotify
"see you again, the one in fast 8, by charlie puth",spotify
I wanna hear the most popular florida song,spotify
the greatest sia,spotify
more than you know is ok,spotify
get me a workout song,spotify
whatever cheerful from neffex,spotify
watch top documentaries,netflix
watch james cameron movie,netflix
movie about italian mafia,netflix
guy ritchie last movie,netflix
best russian movies,netflix
top 10 new year comedies,netflix
netflix original series,netflix
play best detectives,netflix
watch cyberpunk movies,netflix
wacth bollywood films,netflix
watch french movie,netflix
watch 2021 oscar movies,netflix
watch cannes festival movies,netflix
watch 90s movies,netflix
best korean movies,netflix
best tarantino movies,netflix
best imdb rate movies,netflix
watch romatic movies,netflix
best sport drama,netflix
play cartoon about soul,netflix
play home alone,netflix
harry potter last movie,netflix
watch friends second season first episode,netflix
watch game of thrones first season,netflix
top rated series,netflix
show me a new fantasy world,netflix
play some sad scenes,netflix
play a sci-fi movie,netflix
top independent movies of the year,netflix
a good thriller,netflix
play prize-winning movie,netflix
i want to watch a relaxing documentary,netflix
show me a short sitcom-episod,netflix
play an old western,netflix
play a climate-change documentary,netflix
play an oscar-winning movie,netflix
show me gang fights,netflix
play splastick humour,netflix
play a comedy with dry humour,netflix
play a nerve-wrecking tv show,netflix
play a high school drama,netflix
show me the most trending show,netflix
play a dark show,netflix
show me some good comedy,netflix
play an animated comic,netflix
best movie of the year,netflix
play a show with great costume-design,netflix
play a superhero-movie,netflix
best show on netfllix,netflix
play the best show on netflix now,netflix
any movies with henry cavill especially is he is playing superman,netflix
play clash of the titans ,netflix
any comedies released recently that does not have adam sandler,netflix
a nineties film with cowboys and westerns,netflix
any animation with robots and kaijus,netflix
any anime on basketball,netflix
play me a show that has heath ledger cast as the joker,netflix
do you have a show similar to eternal sunshine of the spotless mind,netflix
documentary about corporate greed,netflix
any documentaries on the chef bourdain,netflix
cooking classes and how to work the kitchen,netflix
any film with arnold schwazneggar and the terminator,netflix
any k drama on netflix now with the actress son ye jin,netflix
play me big bangs world tour,netflix
big bang theorys latest episodes released,netflix
fresh off the boat last episode please,netflix
find me the film that has the character arthur fleck as the joker,netflix
can you play the movie batman begins with christian bale,netflix
ben affleck as the batman I think it was batman versus superman,netflix
any show with chris hemsworth as thor preferably ragnarok,netflix
marvel avengers civil war the latest show,netflix
what was the name of the film where thanos snapped with world out of existence,netflix
play me the latest episode of stranger things,netflix
do you have the movie it which has the demonic clown from outer space,netflix
play the film the martian ,netflix
show me the terminator,netflix
tom and jerry for the kids,netflix
the last film of the fast and furious series,netflix
newest bond film,netflix
highest rating nolan film,netflix
transformers that has megan fox,netflix
superman versus batman would not be bad,netflix
"show me that pianist movie, the one that won oscar",netflix
"I want to watch the thing, 2011 remake",netflix
50 shades of grey is ok,netflix
last hugg jackman film in x men sequence,netflix
play a detective film that won oscar,netflix
show me a scifi with aliens,netflix
a time loop film,netflix
the film with vegeta and goku,netflix
best show on netflix,netflix
horror movie that has canibalism,netflix
a sean connery bond film,netflix
is a hardcore porn available,netflix
american pie please,netflix
best the rock film,netflix
last heath ledger film,netflix
a horror film with happy ending,netflix
a cartoon comedy please,netflix
give me a song from paramore nothing compares to,spotify
play me the top 50 playlist from 2020,spotify
praise songs to lift my mood please,spotify
Play Cruella DeVill by Disney,netflix
Play Thor Ragnarok by Marvel,netflix
Find me the film with Tom Hilton as Loki,netflix
Find me the film with the Disney villain Jaffar,netflix
Do you have the third lion king movie,netflix
Play me the latest version of beauty and the beast,netflix
What's the best show available on Netflix right now,netflix
Give me your best recommendation for action movie,netflix
